Artist,Birth,Death,Art Title,DoC,Estimate,price,Dimentions,close date,Auction Title
Henry Moret ,1856,1913,"Ile de Groix, Pointe de l’Enfer",1896,"USD 80,000 – USD 120,000","USD 118,750",(73.4 x 63.4 cm.),14 May 2019,"2019 | LIVE AUCTION 17156
IMPRESSIONIST AND MODERN ART DAY SALE"
JAMES ROSENQUIST ,1933,2017,Chambers,0,"USD 1,500 - USD 2,000","USD 1,250",(610 x 1181 mm.),16 Sep 2021,"2 Sep - 16 Sep 2021 | Online Auction 20747
A Graphic Dialogue: Prints from the Collection of Lois B. Torf Online"
Purvis Young ,1943,2010,Untitled #15,1992,"USD 1,500 - USD 2,500","USD 1,250",(35.6 x 27.9 cm.),5 Feb 2020,"28 Jan - 5 Feb 2020 | Online Auction 19045
Christie's 100"
BRASSAÏ ,1899,1984,"Le Pain Ornemental, vers 1933",0,"EUR 3,000 – EUR 5,000","EUR 4,750",(6 7/8 x 8 in.),10 Nov 2017,"2017 | LIVE AUCTION 15061
PHOTOGRAPHIES"
"Irish School, 18th century",d,length,"Portrait of a gentleman traditionally identified as Sir Nicholas Osborne, 6th Bt. of Ballentaylor (d.1718), full-length, in a grey coat, standing with his right hand resting on a table beside his tricorn hat, Fort St. George, Madras beyond",0,"GBP 5,000 – GBP 8,000","GBP 68,500",(239 x 147.5 cm.),30 Oct 2014,"2014 | LIVE AUCTION 5660
OLD MASTER AND BRITISH PAINTINGS"
Johan Barthold Jongkind ,0,0,Patineurs à Maassluis,0,"USD 80,000 – USD 120,000","USD 112,500",(41 x 56.2 cm.),18 Apr 2018,"2018 | LIVE AUCTION 16007
19TH CENTURY EUROPEAN ART"
Helen Frankenthaler ,1928,2011,One O'Clock,1966,"USD 500,000 – USD 700,000","USD 495,000",(238.8 x 196.2 cm.),27 Sep 2019,"2019 | LIVE AUCTION 17647
POST-WAR TO PRESENT"
André Brasilier ,1929,0,L'Eglise de Fresne en Tardenois,1970,"USD 10,000 – USD 15,000","USD 11,250",(100.3 x 73.7 cm.),28 Aug 2013,"2013 | LIVE AUCTION 2722
INTERIORS"
SAM FRANCIS ,1923,1994,Cut Throat,0,"USD 2,500 - USD 3,500","USD 7,500",(1146 x 794 mm.),21 Sep 2017,"12 Sep - 21 Sep 2017 | Online Auction 15074
Contemporary Edition"
Isack Jansz. van Ostade ,Haarlem,1649,A barn interior with two children eating and a man working,0,"USD 40,000 – USD 60,000","USD 67,500",(85.8 x 121.9 cm.),3 Jun 2015,"2015 | LIVE AUCTION 3747
OLD MASTER PAINTINGS"
PER KIRKEBY ,1938,2018,Untitled,1978,"GBP 70,000 – GBP 100,000","GBP 212,500",(122.3 x 122.3cm.),23 Oct 2020,"2020 | LIVE AUCTION 18943
POST-WAR & CONTEMPORARY ART DAY SALE"
André Masson ,1896,1987,Pluie sur le Verdon,1949,"GBP 3,000 – GBP 5,000","GBP 3,750",(37.7 x 46.2 cm.),3 Mar 2017,"2017 | LIVE AUCTION 13581
IMPRESSIONIST AND MODERN ART"
"Gutfreund, Otto ",1889,1927,Cubist soldier and soldier,0,"GBP 800 – GBP 1,200","GBP 1,500",(13.6 x 21.6 cm.),22 Jun 2012,"2012 | LIVE AUCTION 6240
IMPRESSIONIST/MODERN"
Sergej Jensen ,1973,0,Black Sun,2006,"USD 50,000 – USD 70,000","USD 106,250",(149.8 x 100.3 cm.),12 May 2015,"2015 | LIVE AUCTION 3742
POST-WAR AND CONTEMPORARY ART DAY SALE SESSION I"
Edgar Degas ,1834,1917,Femme à sa toilette,0,"GBP 250,000 – GBP 350,000","GBP 290,500",(69.5 x 79 cm.),5 Feb 2014,"2014 | LIVE AUCTION 1508
IMPRESSIONIST/MODERN WORKS ON PAPER"
Ephrem Solomon ,1983,0,The Two Sorrow Face,2013,"GBP 2,000 - GBP 3,000","GBP 2,000",(95 x 90cm.),28 May 2020,"12 May - 28 May 2020 | Online Auction 19564
Handpicked: 100 Works Selected by the Saatchi Gallery"
"Tristram Hillier, R.A. ",1905,1983,Castilian Farm,0,"GBP 10,000 – GBP 15,000","GBP 12,500",(50.8 x 76.2 cm.),23 Nov 2017,"2017 | LIVE AUCTION 14436
MODERN BRITISH & IRISH ART DAY SALE"
Matta ,1911,2002,Untitled,1940,"USD 120,000 – USD 180,000","USD 137,500",(26 x 31 cm.),24 May 2018,"2018 | LIVE AUCTION 15459
LATIN AMERICAN ART"
PABLO PICASSO ,1881,1973,Inès assise,0,"GBP 300,000 – GBP 500,000","GBP 478,800",(31.8 x 23.7 cm.),1 Mar 2022,"MARCH 1 | LIVE AUCTION 20661
20TH/21ST CENTURY: LONDON EVENING SALE"
"FRENCH SCHOOL, 17TH CENTURY",48,length,"Portrait of a boy, bust-length",0,"GBP 15,000 - GBP 20,000","GBP 35,000",(48.9 x 37.5 cm.),8 Dec 2021,"17 Nov - 8 Dec 2021 | Online Auction 20056
Old Master Paintings and Sculpture: Online"
Peter Doig ,1959,0,Orange Forest,1999,"GBP 400,000 – GBP 600,000","GBP 662,500",(92 x 77cm.),19 Oct 2013,"2013 | LIVE AUCTION 1151
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
Grayson Perry ,0,0,I Love You Super Rich Person,2017,"GBP 15,000 - GBP 20,000","GBP 32,500",(32.5 x 11 x 22cm.),11 Apr 2019,"4 Apr - 11 Apr 2019 | Online Auction 16799
First Open | Online"
"STUDIO OF TIZIANO VECELLI, CALLED TITIAN ",PIEVE,1576,"Portrait of Caterina Cornaro (1454-1510), bust-length, in an elaborate headdress",0,"GBP 20,000 - GBP 30,000","GBP 50,000",(41.9 x 28.8 cm.),9 Jul 2021,"18 Jun - 9 Jul 2021 | Online Auction 20054
Old Master Paintings & Sculpture Online"
Henri de Toulouse-Lautrec ,1864,Lautrec,Marin,0,"USD 10,000 – USD 15,000","USD 18,750",(23.9 x 15 cm.),9 May 2013,"2013 | LIVE AUCTION 2783
IMPRESSIONIST & MODERN WORKS ON PAPER"
WILLIAM EGGLESTON ,0,0,"Doorway, 1972",0,"USD 5,000 - USD 7,000","USD 8,125",(33 x 21.9 cm.),14 Oct 2020,"5 Oct - 14 Oct 2020 | Online Auction 19790
The Unseen Eye: Photographs from the W.M. Hunt Collection"
Circle of Harry Hall ,1812,1888,"'Galaor', with jockey up",0,"GBP 3,000 – GBP 5,000","GBP 8,750",(63.6 x 76.2 cm.),27 Nov 2013,"2013 | LIVE AUCTION 9717
SPORTING & WILDLIFE ART"
FERNANDO BOTERO ,0,0,"La Toilette, from Botero",0,"USD 2,000 - USD 3,000","USD 6,875",(349 x 285 mm.),19 Jul 2017,"11 Jul - 19 Jul 2017 | Online Auction 14543
Contemporary Edition"
HENRI DE TOULOUSE-LAUTREC ,1864,LAUTREC,Jane Avril,1899,"USD 20,000 – USD 30,000","USD 56,250",(556 x 375 mm.),10 May 2018,"2018 | LIVE AUCTION 16721
THE COLLECTION OF PEGGY AND DAVID ROCKEFELLER: FINE ART, DAY SALE"
ANDY WARHOL ,1928,318,"Details of Renaissance Paintings (Sandro Botticelli, Birth of Venus)",0,"USD 180,000 – USD 280,000","USD 237,500",(635 x 940 mm.),20 Apr 2018,"2018 | LIVE AUCTION 16121
PRINTS AND MULTIPLES"
SHI HU ,0,0,Butterfly Shadow,1999,"HKD 15,000 - HKD 20,000","HKD 47,880",(23 1/2 x 17 1/2 in.),22 Apr 2022,"7 Apr - 22 Apr 2022 | Online Auction 19896
No Regrets: 20/21 Art Online: All Originals"
Alexandre-Louis Jacob ,French,Louis,Soir sur le marais,0,"GBP 2,500 – GBP 3,500","GBP 4,000",(33 x 41 cm.),20 Jan 2016,"2016 | LIVE AUCTION 11799
19TH CENTURY EUROPEAN ART"
ELLSWORTH KELLY ,B,73,White and Black,0,"USD 2,000 – USD 3,000","USD 2,750",(305 x 610 mm.),12 Feb 2015,"2015 | LIVE AUCTION 3701
FIRST IMPRESSION"
PIERRE MOLINIER ,1900,1976,"Pantomine céleste, 1967",0,"EUR 3,000 – EUR 4,000","EUR 6,500",(5¾ x 4.14 in.),14 Nov 2013,"2013 | LIVE AUCTION 3580
AGATHE GAILLARD ET LA PHOTOGRAPHIE : UNE PIONNIÈRE À PARIS"
Hendrik Spilman ,Amsterdam,1784,The fire at the Zeemagazijn of the Arsenal in Amsterdam in 1771,1771,"EUR 2,000 – EUR 3,000","EUR 3,750",(21.1 x 28.5 cm.),10 Dec 2014,"2014 | LIVE AUCTION 3052
THE I.Q. VAN REGTEREN ALTENA COLLECTION PART II. DUTCH AND FLEMISH DRAWINGS FROM 1500-1900"
Jan Asselijn ,Dieppe,1652,A cavalry skirmish,0,"USD 15,000 – USD 20,000","USD 15,000",(29.2 x 47 cm.),31 Jan 2013,"2013 | LIVE AUCTION 2676
OLD MASTER PAINTINGS PART II"
Robert M. Pratt ,1811,1880,The Young Connoisseur,0,"USD 10,000 - USD 15,000","USD 20,000",(31.1 x 24.8 cm.),21 Nov 2017,"14 Nov - 21 Nov 2017 | Online Auction 14317
American Art Online"
DEBORAH KASS ,0,0,Gold Barbra (Jewish Jackie Series),1992,"USD 15,000 - USD 20,000",0,(127 x 101.6 cm.),null: 20 Jul 2017,"11 Jul - 20 Jul 2017 | 15393
First Open | Post-War & Contemporary Art"
George Condo ,1957,0,Figures in Motion,2013,"GBP 1,000,000 – GBP 1,500,000","GBP 1,868,750",(151.1 x 160cm.),6 Mar 2018,"2018 | LIVE AUCTION 15473
POST-WAR AND CONTEMPORARY ART EVENING AUCTION"
MICHELANGELO PISTOLETTO ,0,0,Ragazzo,1965,"USD 400,000 – USD 600,000","USD 1,143,750",(220 x 120 cm.),16 May 2013,"2013 | LIVE AUCTION 2787
POST-WAR & CONTEMPORARY AFTERNOON SESSION"
Alfonso Ossorio ,1901,1990,Victories,1950,"USD 10,000 – USD 15,000","USD 68,750",(76.2 x 54.6 cm.),22 Jul 2015,"2015 | LIVE AUCTION 3757
FIRST OPEN/ NYC"
ANDY WARHOL ,1928,1987,Andy Warhol and Jon Gould,0,"USD 8,000 - USD 10,000","USD 8,190",(25.4 x 20.3 cm.),31 Mar 2022,"17 Mar - 31 Mar 2022 | Online Auction 21470
The Andy Warhol Diaries"
"Sir Edward Coley Burne-Jones, Bt., A.R.A., R.W.S. ",1833,Jones,Love disguised as Reason,0,"GBP 40,000 – GBP 60,000","GBP 162,500",(34.6 x 18.5 cm.),11 Dec 2018,"2018 | LIVE AUCTION 15507
BRITISH ART: VICTORIAN, PRE RAPHAELITE & BRITISH IMPRESSIONIST ART"
"Sir Edward Coley Burne-Jones, Bt., A.R.A., R.W.S. ",1833,Jones,Le Chant d'Amour,0,"GBP 30,000 – GBP 50,000","GBP 32,500",(60.6 x 91.5 cm.),11 Dec 2018,"2018 | LIVE AUCTION 15507
BRITISH ART: VICTORIAN, PRE RAPHAELITE & BRITISH IMPRESSIONIST ART"
PABLO PICASSO ,1881,1973,Homme à la pipe,0,"USD 15,000,000 – USD 20,000,000","USD 15,430,000",(130.1 x 97 cm.),11 Nov 2021,"2021 | LIVE AUCTION 20180
20TH CENTURY EVENING SALE"
Johann Moritz Rugendas ,1802,1858,Vista de Santiago desde el cerro Santa Lucía hacia el oriente,0,"USD 150,000 – USD 200,000","USD 221,000",(33.7 x 46 cm.),21 Nov 2015,"2015 | LIVE AUCTION 3795
LATIN AMERICAN ART"
A KASHAN CARPET,0,0,"CENTRAL PERSIA, MID 20TH CENTURY",0,"GBP 1,200 – GBP 1,600","GBP 2,375",(406cm. x 296cm.),17 Aug 2016,"2016 | LIVE AUCTION 12039
INTERIORS"
Mary Cassatt ,1844,1926,Girl in a Hat with a Black Ribbon,0,"USD 400,000 – USD 600,000","USD 665,000",(45.1 x 54.6 cm.),22 May 2014,"2014 | LIVE AUCTION 2851
AMERICAN ART"
AUSTIN LEE ,0,0,Power Pose,2016,"GBP 2,000 - GBP 3,000","GBP 12,500",(72 x 143 x 53cm.),7 Jul 2021,"24 Jun - 7 Jul 2021 | Online Auction 19114
First Open: Post-War and Contemporary Art Online"
ALFRED STIEGLITZ ,1864,mounted,"Portrait of Dorothy Norman, 1930s",0,"USD 5,000 - USD 7,000","USD 1,125",(10.1 x 7.6 cm.),13 May 2020,"30 Apr - 13 May 2020 | Online Auction 18987
From Pictorialism into Modernism: 80 Years of Photography"
ISRAËL SILVESTRE ,1621,1691,"View of the Tour de Nesle, Paris, seen from the East",0,"GBP 2,000 - GBP 3,000","GBP 1,750",(12 x 21 cm.),6 Dec 2018,"28 Nov - 6 Dec 2018 | Online Auction 16534
Old Master Works on Paper: Prints and Drawings for under £5,000"
Georges Devy ,0,0,The secret letter,0,"GBP 2,500 – GBP 3,500","GBP 3,125",(74.5 x 93.3 cm.),20 Jan 2016,"2016 | LIVE AUCTION 11799
19TH CENTURY EUROPEAN ART"
ATANDA QUADRI ADEBAYO ,0,0,Let Love Lead,2021,"GBP 8,000 – GBP 12,000","GBP 20,160",(120.5 x 90.5cm.),2 Mar 2022,"MARCH 2 | LIVE AUCTION 20098
POST-WAR AND CONTEMPORARY ART DAY SALE"
GENNARO CAPASSO,0,0,Lion,0,USD 200 - USD 400,USD 250,(13.9 x 11.1 x 5.6 cm.),5 Aug 2019,"25 Jul - 5 Aug 2019 | Online Auction 18303
Inside Job: Christie's Staff Art Show"
Yayoi Kusama ,1929,0,Infinity Nets (0902F),2000,"GBP 30,000 – GBP 40,000","GBP 91,250",(72.7 x 60.7cm.),12 Oct 2012,"2012 | LIVE AUCTION 5710
POST WAR AND CONTEMPORARY ART DAY AUCTION"
Angel Otero ,1981,0,Sour Diesel,2011,"USD 10,000 - USD 15,000","USD 12,500",( 96.5 x 64.8 cm.),15 Dec 2020,"1 Dec - 15 Dec 2020 | Online Auction 18985
First Open | Online"
HORACE BRISTOL ,0,0,"PBY Blister Gunner, Rescue at Rabaul, 1944",0,"USD 7,000 – USD 9,000","USD 30,000",(40.5 x 39.3 cm.),10 Oct 2017,"2017 | LIVE AUCTION 14977
PHOTOGRAPHS INCLUDING PROPERTY FROM THE MUSEUM OF MODERN ART"
DOUG & MIKE STARN ,B,2003,"Black Pulse 17, 2000-2003",0,"USD 10,000 - USD 15,000","USD 7,500",(48.2 x 45.7 cm.),28 Oct 2020,"19 Oct - 28 Oct 2020 | Online Auction 19792
Aperture"
G. Harvey ,1933,2017,Dear Boone Letter,1979,"USD 2,000 – USD 3,000","USD 50,000",(17.8 x 17.8 cm.),28 Oct 2020,"2020 | LIVE AUCTION 19499
THE LEGEND OF THE WEST: ICONIC WORKS FROM THE T. BOONE PICKENS COLLECTION"
Lyonel Feininger ,1871,1956,Die Blaue Insel (The Blue Island),1934,"GBP 250,000 – GBP 350,000","GBP 265,250",(40.8 x 48.7 cm.),20 Jun 2012,"2012 | LIVE AUCTION 5465
IMPRESSIONIST/MODERN ART EVENING SALE"
Géza Vastagh ,Hungarian,1919,A Lion in the Snow,0,"USD 50,000 – USD 70,000","USD 50,000",(92.71 x 129.54 cm.),1 Nov 2012,"2012 | LIVE AUCTION 2592
19TH CENTURY EUROPEAN ART"
"BICKHAM, George, the Younger . The Musical Entertainer. London: Charles Corbett, [1737-1739 or later].",d,1739,,1765,"USD 3,000 – USD 4,000","USD 4,750",(377 x 233 mm),20 Jun 2013,"2013 | LIVE AUCTION 2800
THE COLLECTION OF ARTHUR & CHARLOTTE VERSHBOW PART THREE: THE BAROQUE AND ROCOCO PERIODS"
"Sir Edward Coley Burne-Jones, Bt., A.R.A., R.W.S. ",1833,Jones,Study of a hill fairy for 'Arthur in Avalon',0,"GBP 7,000 – GBP 10,000","GBP 8,125",(21 x 14 cm.),13 Dec 2012,"2012 | LIVE AUCTION 5969
VICTORIAN & BRITISH IMPRESSIONIST ART"
ATTRIBUTED TO GIROLAMO DA SANTACROCE ,SANTA,1556,The Resurrection,0,"USD 15,000 - USD 20,000","USD 6,000",(48.7 x 32.7 cm.),20 Oct 2020,"1 Oct - 20 Oct 2020 | Online Auction 18553
Old Master Paintings and Sculpture"
YVES ZURSTRASSEN ,0,0,Opening,0,"EUR 8,000 – EUR 12,000","EUR 16,250",(74 ¾ x 74 ¾ in.),8 Jun 2017,"2017 | LIVE AUCTION 13735
ART CONTEMPORAIN VENTE DU JOUR"
Marlene Dumas ,1953,0,Transparent Magdalena (without head),1996,"USD 120,000 – USD 180,000","USD 162,500",(101.6 x 69.9 cm.),16 Nov 2017,"2017 | LIVE AUCTION 14996
POST-WAR & CONTEMPORARY ART MORNING SESSION"
Lucio Fontana ,1899,1968,Concetto Spaziale,1967,"EUR 35,000 – EUR 50,000","EUR 122,500",(i),12 Apr 2017,"2017 | LIVE AUCTION 14078
POST-WAR AND CONTEMPORARY ART"
Ricardo Martínez ,Mexican,2009,Los elotes (also known as Offering to Life),1958,"USD 50,000 – USD 70,000","USD 93,750",(120 x 80 cm.),20 Nov 2013,"2013 | LIVE AUCTION 2747
LATIN AMERICAN ART"
Joan Miró ,1893,1983,Untitled,1974,"GBP 40,000 – GBP 60,000","GBP 37,500",(33.5 x 50 cm),25 Jun 2014,"2014 | LIVE AUCTION 1533
IMPRESSIONIST/MODERN WORKS ON PAPER"
LYONEL FEININGER ,1871,1956,Fahrzeuge in der Ostsee,0,"USD 4,000 - USD 6,000","USD 3,750",(337 x 427 mm.),null: 19 Nov 2020,"5 Nov - 19 Nov 2020 | 18860
Modern Edition"
HENRI CARTIER–BRESSON ,0,0,"Rue Mouffetard, Paris, 1954",0,"USD 15,000 – USD 25,000","USD 18,750",(45 x 30.2 cm.),2 Apr 2019,"2019 | LIVE AUCTION 17021
PHOTOGRAPHS"
SADAMASA MOTONAGA ,0,0,Work; & Untitled,1993,"HKD 15,000 – HKD 20,000","HKD 32,500",(40 1/2 x 28 3/8 in.),29 Mar 2019,"2019 | LIVE AUCTION 17026
FIRST OPEN | HONG KONG"
HENRI CARTIER–BRESSON ,0,0,"Funeral of a Kabuki Actor, Japan, 1965",0,"USD 7,000 - USD 9,000","USD 7,500",(24.1 x 35.9 cm.),30 Sep 2020,"21 Sep - 30 Sep 2020 | Online Auction 18978
Photographs"
"SIR TERRY FROST, R.A. ",1915,2003,Blue Figure,1957,"GBP 8,000 – GBP 12,000","GBP 8,125",(76.2 x 58 cm.),21 Oct 2021,"2021 | LIVE AUCTION 20023
MODERN BRITISH AND IRISH ART DAY SALE"
Paul Klee ,1879,1940,Strassenskizze aus Kairuan,1914,"USD 120,000 – USD 180,000","USD 118,750",(11.4 x 15.9 cm.),17 Nov 2016,"2016 | LIVE AUCTION 12146
IMPRESSIONIST & MODERN ART WORKS ON PAPER SALE"
DONALD SULTAN ,0,0,"Mimosa, April 30, 2015",0,"USD 3,000 - USD 5,000","USD 3,000",(1283 x 1511 mm.),26 Oct 2017,"17 Oct - 26 Oct 2017 | Online Auction 15008
Screen Star: Alexander Heinrici, Master Printer"
"Glyn Warren Philpot, R.A. ",1884,1937,Resurgam,0,"GBP 50,000 – GBP 80,000","GBP 93,750",(86 x 89 cm.),23 Nov 2017,"2017 | LIVE AUCTION 14436
MODERN BRITISH & IRISH ART DAY SALE"
George Edward Lodge ,1860,1954,Blackcocks displaying,0,"GBP 2,500 – GBP 3,500","GBP 4,750",(30.5 x 45.7 cm.),15 Dec 2017,"2017 | LIVE AUCTION 15544
THE ASTOR COLLECTION FROM TILLYPRONIE, ABERDEENSHIRE"
FERNAND LÉGER ,1881,1955,Une vache et un chapeau rouge,1952,"USD 1,000,000 – USD 1,500,000","USD 1,230,000",(73.7 x 92 cm.),11 Nov 2021,"2021 | LIVE AUCTION 20180
20TH CENTURY EVENING SALE"
PABLO PICASSO ,1881,1973,"Femme accoudée, sculpture de dos et tête barbue, from La Suite Vollard",0,"USD 7,000 – USD 10,000","USD 10,000",(375 x 262 mm.),20 Apr 2017,"2017 | LIVE AUCTION 13738
PRINTS & MULTIPLES"
CLAUDE VIALLAT ,0,0,Sans titre,0,"EUR 5,000 – EUR 7,000","EUR 27,500",(118 ½ x 85 ¼ in.),6 Dec 2017,"2017 | LIVE AUCTION 15058
ART CONTEMPORAIN - VENTE DU JOUR"
"Charles Sillem Lidderdale, R.B.A. ",1831,1895,Portrait of a young girl in a pinafore,0,"GBP 1,500 – GBP 2,000","GBP 1,625",(53.3 x 43.8 cm.),19 Jun 2014,"2014 | LIVE AUCTION 5411
VICTORIAN, PRE-RAPHAELITE & BRITISH IMPRESSIONIST ART"
Henri Matisse ,1869,1954,Etude de visages (recto); Etude de motifs (verso),0,"USD 3,000 - USD 5,000","USD 11,250",(32.5 x 25 cm.),23 Jun 2021,"9 Jun - 23 Jun 2021 | Online Auction 20525
Matisse on Paper: Prints & Drawings from the Estate of Jacquelyn Miller Matisse, Online"
Jean Béraud ,French,1936,Parisienne au rond-point des Champs-Élysées,0,"USD 25,000 – USD 35,000","USD 31,250",(40.6 x 27 cm.),18 Apr 2018,"2018 | LIVE AUCTION 16007
19TH CENTURY EUROPEAN ART"
Santiago Sierra ,1966,0,"Veteran of the War of Colombia Facing the Corner (ARTBO 2011, Centro Colombo Americano, Bogota, Colombia. November 2011)",2013,"USD 5,000 - USD 7,000","USD 4,000",(200.6 x 98.4 cm.),21 Jul 2021,"9 Jul - 21 Jul 2021 | Online Auction 19886
First Open | Post-War & Contemporary Art"
LOUISE BOURGEOIS ,1911,2010,Untitled,2002,"GBP 30,000 – GBP 50,000","GBP 43,750",(29.8 x 21.6cm.),16 Oct 2021,"2021 | LIVE AUCTION 20072
POST-WAR AND CONTEMPORARY ART DAY SALE"
PIETER VAN DER HEYDEN  AFTER ERHARD SCHÖN ,CIRCA,1542,Portrait of Albrecht Dürer,0,"USD 1,000 – USD 1,500","USD 1,000",(Heyden),29 Jan 2019,"2019 | LIVE AUCTION 16544
OLD MASTER PRINTS"
Eva Hesse ,1936,1970,No title,0,"USD 80,000 – USD 120,000","USD 81,250",(91.4 x 121.9 cm.),1 Mar 2018,"2018 | LIVE AUCTION 15348
POST-WAR AND CONTEMPORARY ART"
John White Abbott ,Exeter,1851,Bristol from the Downs,0,"GBP 5,000 – GBP 8,000","GBP 5,000",(25.8 x 17.8 cm.),10 Jul 2012,"2012 | LIVE AUCTION 6574
ANDREW WYLD: CONNOISSEUR DEALER"
CARL VAN VECHTEN ,0,0,"Portrait of Cecil Beaton, 1937",0,"USD 4,000 – USD 6,000","USD 5,000",(24.6 x 18.7 cm.),2 Oct 2019,"2019 | LIVE AUCTION 17600
PHOTOGRAPHS"
Jessica Hayllar ,1858,1940,Azaleas,0,"GBP 12,000 – GBP 18,000","GBP 12,500",(27.3 x 22.8 cm.),13 Jul 2016,"2016 | LIVE AUCTION 12236
VICTORIAN, PRE-RAPHAELITE AND BRITISH IMPRESSIONIST ART"
Ralph Humphrey ,1932,1990,Semana Santa,1957,"USD 10,000 – USD 15,000","USD 81,250",(179.1 x 123.8 cm.),27 Sep 2017,"2017 | LIVE AUCTION 15785
THE COLLECTION OF PAUL F. WALTER"
JOAN MIRÓ ,1893,1983,Le Lézard aux plumes d'or: three prints,0,"USD 3,000 - USD 5,000","USD 8,750",(352 x 499 mm.),18 Nov 2021,"4 Nov - 18 Nov 2021 | Online Auction 20567
A Graphic Century - 1875-1975"
Sir Noël Coward ,1899,1973,Unloading the Catch,0,"GBP 3,000 – GBP 5,000","GBP 5,000",(30.5 x 35.9 cm.),19 Mar 2015,"2015 | LIVE AUCTION 10442
MODERN BRITISH AND IRISH ART"
STUDIO OF JUAN PANTOJA DE LA CRUZ ,VALLADOLID,1608,"Portrait of the Infanta Anna Maria of Hapsburg (1606-1646), aged one, holding a coral teething toy",0,"GBP 10,000 - GBP 15,000","GBP 47,500",(79.6 x 70 cm.),17 Dec 2020,"26 Nov - 17 Dec 2020 | Online Auction 18877
Old Master Paintings & Sculpture Online"
JOHN BALDESSARI ,B,and,This Cloud/That Horseman,1974,"GBP 10,000 – GBP 15,000","GBP 10,000",(57 x 78.5cm.),12 Feb 2016,"2016 | LIVE AUCTION 11796
POST-WAR AND CONTEMPORARY ART DAY AUCTION"
JUAN MUNOZ ,1953,2001,Untitled,1999,"GBP 70,000 – GBP 100,000","GBP 188,500",(52.5 x 22.5 x 36cm.),11 Feb 2014,"2014 | LIVE AUCTION 10171
EYES WIDE OPEN: AN ITALIAN VISION"
Fernand Léger ,1881,1955,Dessin de guerre,0,"GBP 100,000 – GBP 200,000","GBP 112,500",(21.6 x 14.4 cm.),21 Jun 2018,"2018 | LIVE AUCTION 15930
IMPRESSIONIST AND MODERN WORKS ON PAPER"
Emil Nolde ,1867,1956,Phantasie,0,"GBP 150,000 – GBP 250,000","GBP 182,500",(45 x 60.5 cm.),5 Feb 2015,"2015 | LIVE AUCTION 10335
IMPRESSIONIST/MODERN WORKS ON PAPER"
CIRCLE OF ADRIAEN MANGLARD ,LYON,1760,A coastal landscape with fishermen,0,"GBP 4,000 - GBP 6,000","GBP 2,250",(89.6 x 130.2 cm.),7 Oct 2020,"23 Sep - 7 Oct 2020 | Online Auction 19704
Discovering Old Masters: The Legacy of Piero Corsini"
Master of Staffolo ,0,0,The Madonna at the Holy House of Loreto with Saints Anthony of Padua and Bernardino of Siena,0,"USD 120,000 – USD 180,000","USD 158,500",(67.3 x 50.2 cm.),6 Jun 2012,"2012 | LIVE AUCTION 2564
OLD MASTER PAINTINGS"
David Hockney ,1937,0,George in a Fur Coat,1966,"USD 50,000 – USD 70,000","USD 56,250",(30.2 x 40.6 cm.),16 May 2019,"2019 | LIVE AUCTION 16978
POST-WAR AND CONTEMPORARY ART MORNING SESSION"
Johan Barthold Jongkind ,Dutch,1891,Environs de Dordrecht,0,"GBP 20,000 – GBP 30,000","GBP 30,000",(24.5 x 32.7 cm.),11 Jul 2019,"2019 | LIVE AUCTION 17201
BRITISH & EUROPEAN ART: EUROPEAN ART"
"SWITZERLAND, EARLY 15TH CENTURY AND LATER",7,metal,Casket with Scene of Tristan and Isolde,0,"GBP 1,000 - GBP 1,500","GBP 16,250",(7.2 x 13 x 8.5 cm.),9 Jul 2021,"18 Jun - 9 Jul 2021 | Online Auction 20054
Old Master Paintings & Sculpture Online"
"Venetian School, 15th Century",0,0,The Deposition,0,"USD 10,000 – USD 15,000","USD 12,500",(51.4 x 35.6 cm.),29 Jan 2015,"2015 | LIVE AUCTION 3709
OLD MASTER PAINTINGS & SCULPTURE PART II"
Peter Vilhelm Ilsted ,DANISH,1933,Interior at Liselund Gammel Slot,0,"GBP 4,000 – GBP 6,000","GBP 6,250",(71.2 x 60.6 cm.),8 Sep 2016,"2016 | LIVE AUCTION 12306
19TH CENTURY EUROPEAN ART"
George Grosz ,1893,1959,Seid fruchtbar und mehret Euch - Die Religion muss dem Volke erhalten bleiben,1922,"GBP 12,000 – GBP 15,000","GBP 21,250",(65 x 52.5 cm.),5 Feb 2014,"2014 | LIVE AUCTION 1508
IMPRESSIONIST/MODERN WORKS ON PAPER"
Jorg Immendorff ,1945,2007,Untitled (The Rake's Progress),1993,"USD 1,000 - USD 2,000","USD 2,375",(27.9 x 25.4 cm.),26 Feb 2019,"20 Feb - 26 Feb 2019 | Online Auction 17028
On Paper | Online"
Diego Rivera ,1886,1957,Peasant Woman,1949,"USD 20,000 – USD 25,000","USD 25,000",(13.3 x 10.2 cm),30 Jul 2020,"2020 | LIVE AUCTION 18183
LATIN AMERICAN ART"
HANS HARTUNG ,1904,1989,T1961–H37,0,"EUR 80,000 – EUR 120,000","EUR 289,500",(36 ¼ x 59 in.),4 Jun 2015,"2015 | LIVE AUCTION 4022
ART CONTEMPORAIN VENTE DU SOIR"
Andy Warhol ,1928,1987,Diamond Dust Shoes,1981,"USD 1,000,000 – USD 1,500,000","USD 1,087,500",(127 x 106.7 cm.),18 May 2017,"2017 | LIVE AUCTION 14188
POST-WAR AND CONTEMPORARY ART MORNING SESSION"
